"Wavelength"	"Extinction"
220	80929.7
221	78069.9
222	74716
223	70943.1
224	66832.6
225	62470.1
226	57942.3
227	53334
228	48726.4
229	44194.1
230	39804.2
231	35614.3
232	31671.9
233	28013.9
234	24666.5
235	21645.3
236	18956.4
237	16596.6
238	14555.1
239	12814.5
240	11352.2
241	10141.8
242	9154.6
243	8361.16
244	7732.27
245	7240.26
246	6859.87
247	6568.96
248	6348.88
249	6184.69
250	6065.03
251	5981.84
252	5929.81
253	5905.83
254	5908.27
255	5936.32
256	5989.38
257	6066.57
258	6166.34
259	6286.29
260	6423.15
261	6572.9
262	6731
263	6892.72
264	7053.51
265	7209.38
266	7357.13
267	7494.63
268	7620.84
269	7735.76
270	7840.18
271	7935.34
272	8022.5
273	8102.38
274	8174.75
275	8237.98
276	8288.83
277	8322.35
278	8332.13
279	8310.67
280	8250
281	8142.48
282	7981.6
283	7762.78
284	7484
285	7146.28
286	6753.84
287	6313.93
288	5836.39
289	5333.06
290	4816.86
291	4300.95
292	3797.85
293	3318.66
294	2872.52
295	2466.22
296	2104.09
297	1788.06
298	1517.88
299	1291.56
300	1105.74
301	956.14
302	838.018
303	746.502
304	676.888
305	624.839
306	586.514
307	558.63
308	538.461
309	523.812
310	512.961
311	504.59
312	497.716
313	491.622
314	485.802
315	479.905
316	473.698
317	467.034
318	459.828
319	452.035
320	443.644
321	434.663
322	425.115
323	415.035
324	404.462
325	393.442
326	382.024
327	370.258
328	358.196
329	345.891
330	333.394
331	320.759
332	308.034
333	295.271
334	282.515
335	269.813
336	257.208
337	244.74
338	232.448
339	220.368
340	208.53
