# SAXS profile: number of points = 1001, q_min = 0, q_max = 2.5, delta_q = 0.0025
#    q    intensity 
0.00000    3280254.92988283 
0.00250    3278816.08628687 
0.00500    3274503.37870755 
0.00750    3267326.89343065 
0.01000    3257305.23126914 
0.01250    3244462.85647696 
0.01500    3228832.47707102 
0.01750    3210450.19120668 
0.02000    3189364.34185447 
0.02250    3165625.51320493 
0.02500    3139291.93248837 
0.02750    3110427.30035934 
0.03000    3079102.83610526 
0.03250    3045391.94820638 
0.03500    3009378.74876806 
0.03750    2971144.88865818 
0.04000    2930784.24332829 
0.04250    2888390.18104394 
0.04500    2844063.11326722 
0.04750    2797901.48332013 
0.05000    2750013.81087922 
0.05250    2700507.02443139 
0.05500    2649494.79027317 
0.05750    2597084.27508941 
0.06000    2543396.47985991 
0.06250    2488543.87555326 
0.06500    2432643.21808941 
0.06750    2375810.01862385 
0.07000    2318165.39624952 
0.07250    2259822.76815111 
0.07500    2200901.03336958 
0.07750    2141511.23918609 
0.08000    2081770.88081580 
0.08250    2021791.64948699 
0.08500    1961684.60722872 
0.08750    1901553.59572242 
0.09000    1841509.04129945 
0.09250    1781646.75600221 
0.09500    1722068.52698271 
0.09750    1662871.90651451 
0.10000    1604148.13454675 
0.10250    1545980.68033726 
0.10500    1488463.34002815 
0.10750    1431660.08487937 
0.11000    1375661.80485074 
0.11250    1320532.06239994 
0.11500    1266337.88178635 
0.11750    1213140.00261164 
0.12000    1160998.15180517 
0.12250    1109965.95096741 
0.12500    1060084.39406112 
0.12750    1011404.82772037 
0.13000    963960.91593335 
0.13250    917782.79780961 
0.13500    872907.42726868 
0.13750    829352.65518123 
0.14000    787140.81510734 
0.14250    746288.30281319 
0.14500    706806.31940344 
0.14750    668703.63361283 
0.15000    631980.18877811 
0.15250    596638.01944238 
0.15500    562676.01289566 
0.15750    530080.63621946 
0.16000    498844.99399721 
0.16250    468958.60088474 
0.16500    440401.55857871 
0.16750    413154.12433934 
0.17000    387195.08720503 
0.17250    362500.88592090 
0.17500    339049.04898880 
0.17750    316804.47403559 
0.18000    295744.58977047 
0.18250    275834.56007680 
0.18500    257045.35897790 
0.18750    239338.19100859 
0.19000    222682.26096131 
0.19250    207043.68843532 
0.19500    192383.66635003 
0.19750    178665.71598147 
0.20000    165855.48978985 
0.20250    153914.46299553 
0.20500    142806.80769655 
0.20750    132494.77009798 
0.21000    122942.76844276 
0.21250    114114.78580382 
0.21500    105975.19034558 
0.21750    98487.26248509  
0.22000    91617.38213030  
0.22250    85334.42720057  
0.22500    79601.94842013  
0.22750    74388.40665624  
0.23000    69663.53306468  
0.23250    65396.52662768  
0.23500    61557.64398501  
0.23750    58119.27258130  
0.24000    55053.48931467  
0.24250    52335.00390694  
0.24500    49938.25805203  
0.24750    47838.05985821  
0.25000    46011.84899190  
0.25250    44438.39288089  
0.25500    43096.58197939  
0.25750    41966.01268254  
0.26000    41028.53702299  
0.26250    40264.42720789  
0.26500    39658.55924615  
0.26750    39195.58379998  
0.27000    38859.09603086  
0.27250    38634.92918074  
0.27500    38512.43191623  
0.27750    38476.10382587  
0.28000    38515.23244588  
0.28250    38619.81210784  
0.28500    38780.44262490  
0.28750    38985.34036996  
0.29000    39229.19028217  
0.29250    39503.16457253  
0.29500    39798.04483083  
0.29750    40108.11790347  
0.30000    40427.86988707  
0.30250    40751.02780238  
0.30500    41072.55181312  
0.30750    41388.32291166  
0.31000    41693.29896020  
0.31250    41983.98369090  
0.31500    42257.17753045  
0.31750    42509.49030395  
0.32000    42739.96649729  
0.32250    42944.13238229  
0.32500    43121.35225169  
0.32750    43269.05444527  
0.33000    43386.89710196  
0.33250    43472.80605098  
0.33500    43526.03620388  
0.33750    43546.72660962  
0.34000    43532.79089056  
0.34250    43486.69522239  
0.34500    43406.32822066  
0.34750    43292.78266937  
0.35000    43146.99375288  
0.35250    42967.56723353  
0.35500    42757.42708479  
0.35750    42515.94217517  
0.36000    42245.00065855  
0.36250    41943.85630172  
0.36500    41616.55963378  
0.36750    41263.10952076  
0.37000    40884.39047730  
0.37250    40482.21360420  
0.37500    40058.36993782  
0.37750    39614.23757570  
0.38000    39152.12406681  
0.38250    38672.21376030  
0.38500    38177.61716681  
0.38750    37670.26727363  
0.39000    37150.86236214  
0.39250    36622.15543483  
0.39500    36085.56532320  
0.39750    35541.48104176  
0.40000    34995.29447916  
0.40250    34445.15567800  
0.40500    33893.69915690  
0.40750    33343.48826578  
0.41000    32795.59294675  
0.41250    32250.64216285  
0.41500    31711.84633399  
0.41750    31179.01637890  
0.42000    30654.86998542  
0.42250    30140.00491818  
0.42500    29635.22800175  
0.42750    29142.16281185  
0.43000    28661.95253249  
0.43250    28194.05510931  
0.43500    27741.27990928  
0.43750    27304.22754029  
0.44000    26881.99201904  
0.44250    26476.13484257  
0.44500    26086.93813407  
0.44750    25715.25051135  
0.45000    25361.34409622  
0.45250    25024.00753463  
0.45500    24704.37951871  
0.45750    24402.06849671  
0.46000    24118.72714644  
0.46250    23851.56793554  
0.46500    23602.12674439  
0.46750    23368.94413009  
0.47000    23153.60951096  
0.47250    22954.87228299  
0.47500    22771.10254034  
0.47750    22602.97617074  
0.48000    22449.74522605  
0.48250    22311.06563429  
0.48500    22185.87118097  
0.48750    22073.40598734  
0.49000    21974.27147663  
0.49250    21886.48419669  
0.49500    21809.88766998  
0.49750    21744.38665135  
0.50000    21687.51289104  
0.50250    21639.73097346  
0.50500    21600.81989489  
0.50750    21569.46401745  
0.51000    21545.22327980  
0.51250    21526.77271379  
0.51500    21513.81035473  
0.51750    21507.03240747  
0.52000    21503.28826198  
0.52250    21504.72413958  
0.52500    21508.73506438  
0.52750    21515.14857413  
0.53000    21523.81728636  
0.53250    21534.23645183  
0.53500    21545.40830323  
0.53750    21557.58359217  
0.54000    21569.87440356  
0.54250    21582.60502714  
0.54500    21593.76068341  
0.54750    21604.53748634  
0.55000    21613.50049057  
0.55250    21621.24497857  
0.55500    21626.99342651  
0.55750    21630.10814561  
0.56000    21630.74811000  
0.56250    21628.95743706  
0.56500    21623.74958395  
0.56750    21615.52487371  
0.57000    21603.27884397  
0.57250    21588.20631940  
0.57500    21569.05562736  
0.57750    21545.78948063  
0.58000    21517.77745440  
0.58250    21485.56018471  
0.58500    21449.93782175  
0.58750    21408.78591246  
0.59000    21362.60052475  
0.59250    21312.26181221  
0.59500    21256.65473251  
0.59750    21195.26010847  
0.60000    21130.02220974  
0.60250    21058.86738274  
0.60500    20982.19293205  
0.60750    20900.59914353  
0.61000    20813.25789902  
0.61250    20720.82002083  
0.61500    20622.40814046  
0.61750    20519.17664929  
0.62000    20410.56758472  
0.62250    20295.63219877  
0.62500    20175.92967286  
0.62750    20051.16583018  
0.63000    19921.02825664  
0.63250    19785.15572008  
0.63500    19644.55665770  
0.63750    19499.37017610  
0.64000    19349.07889599  
0.64250    19194.00234132  
0.64500    19034.67043616  
0.64750    18870.98611438  
0.65000    18703.34936137  
0.65250    18532.59262456  
0.65500    18357.27625440  
0.65750    18178.70948146  
0.66000    17996.95426809  
0.66250    17812.75375819  
0.66500    17626.47840766  
0.66750    17437.42444661  
0.67000    17247.70930034  
0.67250    17055.67050699  
0.67500    16863.06282939  
0.67750    16669.40572158  
0.68000    16475.69697750  
0.68250    16282.13080483  
0.68500    16089.04741154  
0.68750    15896.42555665  
0.69000    15705.34921410  
0.69250    15515.51213574  
0.69500    15328.06135778  
0.69750    15142.56246498  
0.70000    14960.75853077  
0.70250    14781.05647990  
0.70500    14605.12750209  
0.70750    14432.94034926  
0.71000    14264.41297463  
0.71250    14100.37361463  
0.71500    13940.99395869  
0.71750    13786.32698444  
0.72000    13637.06836602  
0.72250    13493.09735591  
0.72500    13353.87531305  
0.72750    13221.19275456  
0.73000    13093.35983010  
0.73250    12972.25817565  
0.73500    12856.46018703  
0.73750    12747.02047405  
0.74000    12643.27791394  
0.74250    12545.80752534  
0.74500    12453.88414436  
0.74750    12368.33796303  
0.75000    12288.08029637  
0.75250    12214.26975840  
0.75500    12145.88487686  
0.75750    12082.81587948  
0.76000    12024.61628134  
0.76250    11971.84364721  
0.76500    11923.60727711  
0.76750    11880.16562434  
0.77000    11840.51783977  
0.77250    11805.63454590  
0.77500    11774.04751265  
0.77750    11746.48934374  
0.78000    11721.43906413  
0.78250    11699.52061169  
